Semester,Subject,Questions,weightage,Unit,Difficult
4,"Computer Organization and Architecture"," Illustrate a program to evaluate the statement C= (A+B)*(C+D) in register, single
accumulator and stack organization.",K2,1,3
4,"Computer Organization and Architecture","Write a program to evaluate the statement C=A+B by using three address, two 
address, one address, and zero address?",K2,1,3
4,"Computer Organization and Architecture","Discuss the straight-line sequence of instructions execution while branch instruction
encounters for consider the task of adding a list of n numbers?",K3,1,1
4,"Computer Organization and Architecture","Discuss the straight-line sequence of instructions execution for consider the task of
C<− A+B?",K3,1,1
4,"Computer Organization and Architecture","Write short notes on?
i)Register Transfer Notation ii)Assembly Language Notation?",K3,1,1
4,"Computer Organization and Architecture","Define the function of following processor register
i)MAR ii)MDR",K3,1,2
4,"Computer Organization and Architecture","Explain Indexed addressing with the help of diagram in detail.",K3,1,2
4,"Computer Organization and Architecture","Explain any two addressing modes  in detail.",K3,1,2
4,"Computer Organization and Architecture","Explain about instruction set architecture.",K3,1,3
4,"Computer Organization and Architecture","Explain about register transfer notation with suitable example.",K3,1,3
4,"Computer Organization and Architecture","Explain about  multiple bus structure with diagram.",K3,1,3
4,"Computer Organization and Architecture","State interrupt hardware and enabling/disabling interrupts?",K1,2,1
4,"Computer Organization and Architecture","Explain the following techniques of handling multiple devices?
a. Simultaneous Interrupts b. Vectored Interrupt",K1,2,1
4,"Computer Organization and Architecture","Outline asynchronous bus?",K1,2,1
4,"Computer Organization and Architecture","Describe about accessing I/O devices?",K1,2,2
4,"Computer Organization and Architecture","Outline synchronous bus? ",K1,2,2
4,"Computer Organization and Architecture","Define Daisy Chain.",K1,2,2
4,"Computer Organization and Architecture","Define Subroutine.",K1,2,3
4,"Computer Organization and Architecture","Define ISR.",K1,2,3
4,"Computer Organization and Architecture","Define Interrupt and its types.",K1,2,3
4,"Computer Organization and Architecture","Explain about different types of Instructions? ",K2,2,1
4,"Computer Organization and Architecture","Discuss in detail about DMA transfer? ",K2,2,1
4,"Computer Organization and Architecture"," Explain the following techniques of handling multiple devices?
a. Interrupt Nesting b.Polling",K2,2,1
4,"Computer Organization and Architecture"," Explain about DMA and the uses of DMA controller in computer system? ",K2,2,2
4,"Computer Organization and Architecture","Write short notes on Interrupt Hardware?",K2,2,2
4,"Computer Organization and Architecture"," Define Bus Arbitration? Discuss the centralized & distributed arbitration.",K2,2,2
4,"Computer Organization and Architecture","What do mean by polling and Vectored Interrupts?",K2,2,3
4,"Computer Organization and Architecture","Explain about Direct Memory Access and the uses of DMA controllers in
computer system.",K2,2,3
4,"Computer Organization and Architecture","Write short notes? i) Daisy Chain ii) Interrupt Nesting",K2,2,3
4,"Computer Organization and Architecture","Describe the interrupt? Explain with example the transfer of control
through the use of interrupts?",K3,2,1
4,"Computer Organization and Architecture","Define the question give rises when multiple number of devices capable
of initiating interrupts?",K3,2,1
4,"Computer Organization and Architecture","Describe the Bus protocol? With neat diagram, explain about how data is
read in synchronous & Asynchronous bus?",K3,2,1
4,"Computer Organization and Architecture","Describe the model of I/O module.",K3,2,2
4,"Computer Organization and Architecture","Explain interrupt driven I/O along with the design issues that arise in its
implementation.",K3,2,2
4,"Computer Organization and Architecture","Explain about different kinds of  handling methods.",K3,2,2
4,"Computer Organization and Architecture","Explain about Simultaneous request in detail.",K3,2,3
4,"Computer Organization and Architecture","Explain about  different elements of bus design.",K3,2,3
4,"Computer Organization and Architecture","Differentiate synchronous and Asynchronous bus.",K3,2,3
4,"Computer Organization and Architecture","Describe the following chips to construct main memory

a. RAM b. ROM
",K1,3,1
4,"Computer Organization and Architecture"," Find the performance measures of cache memory?",K1,3,1
4,"Computer Organization and Architecture","Outline Memory Hierarchy?",K1,3,1
4,"Computer Organization and Architecture"," State about match logic of associative memory with neat diagram?",K1,3,2
4,"Computer Organization and Architecture","Define secondary memory.",K1,3,2
4,"Computer Organization and Architecture","Define primary memory.",K1,3,2
4,"Computer Organization and Architecture","Define cache hit.",K1,3,3
4,"Computer Organization and Architecture","List out applications of associative memory.",K1,3,3
4,"Computer Organization and Architecture","Define addressable memory.",K1,3,3
4,"Computer Organization and Architecture"," Illustrate 1024X16 RAM and 512X16 ROM memory address mapping with
128X16 RAM and 256X16 ROM
",K2,3,1
4,"Computer Organization and Architecture"," Explain different mapping techniques of cache memory?",K2,3,1
4,"Computer Organization and Architecture","Explain about hardware circuit for associative memory? ",K2,3,1
4,"Computer Organization and Architecture","Predict the devices under auxiliary memory? ",K2,3,2
4,"Computer Organization and Architecture","Describe the Memory Address Map to assign address space in the system?",K2,3,2
4,"Computer Organization and Architecture","Discuss in detail about Auxiliary memory.",K2,3,2
4,"Computer Organization and Architecture"," What do you mean by associative memory? Give applications of associative memory.",K2,3,3
4,"Computer Organization and Architecture","Explain why associative memory is called as content addressable memory and give its 
read and write operation principles.",K2,3,3
4,"Computer Organization and Architecture","Describe the match logic in associative memory with circuit diagram?",K2,3,3
4,"Computer Organization and Architecture","Explain various mapping procedures of cache memory with an example.",K3,3,1
4,"Computer Organization and Architecture"," Describe the performance measures of cache memory.",K3,3,1
4,"Computer Organization and Architecture","With neat diagram, explain the design of 2048 × 8 memory module with 128×8 RAM
 chips?",K3,3,1
4,"Computer Organization and Architecture"," Illustrate 1024X16 RAM and 512X16 ROM memory address mapping with 128X16
RAM and 256X16 ROM chips.",K3,3,2
4,"Computer Organization and Architecture","Explain how memories attached to the CPU.",K3,3,2
4,"Computer Organization and Architecture","Explain memory management system in detail.",K3,3,2
4,"Computer Organization and Architecture","Illustrate the difference between DRAM and SRAM.",K3,3,3
4,"Computer Organization and Architecture","Explain about Magnetic disk with the help of diagram.",K3,3,3
4,"Computer Organization and Architecture","Explain about hardware organization and its block diagram.",K3,3,3
4,"Computer Organization and Architecture","Describe in detail about register transfer operations by the processor? ",K1,4,1
4,"Computer Organization and Architecture","State about micro instructions?",K1,4,1
4,"Computer Organization and Architecture","Describe in detail about fetching data from memory by the processor?",K1,4,1
4,"Computer Organization and Architecture","Outline the steps to execute a complete instruction?",K1,4,2
4,"Computer Organization and Architecture","Define single bus organization.",K1,4,2
4,"Computer Organization and Architecture","Define execution phase.",K1,4,2
4,"Computer Organization and Architecture","What do you mean by processor-memory interfaces?",K1,4,3
4,"Computer Organization and Architecture","What are the needs of ALU?",K1,4,3
4,"Computer Organization and Architecture","Draw structure of single bus organization.",K1,4,3
4,"Computer Organization and Architecture"," Differentiate hardwired and micro programmed control unit?",K2,4,1
4,"Computer Organization and Architecture","Discuss about multiple bus organization?",K2,4,1
4,"Computer Organization and Architecture","Explain about micro program sequencing? ",K2,4,1
4,"Computer Organization and Architecture","Discuss about hardwired control unit? ",K2,4,2
4,"Computer Organization and Architecture","Explain the processor organization with an example.",K2,4,2
4,"Computer Organization and Architecture","Explain about single bus organization.",K2,4,2
4,"Computer Organization and Architecture","Discuss about register transfers with the help of diagram?",K2,4,3
4,"Computer Organization and Architecture","Illustrate branch instructions with suitable example.",K2,4,3
4,"Computer Organization and Architecture","Discuss complete processor with block diagram.",K2,4,3
4,"Computer Organization and Architecture","Explain about hardwared control and its units.",K3,4,1
4,"Computer Organization and Architecture","Explain about micro programed control in detail?",K3,4,1
4,"Computer Organization and Architecture","Explain about micro program sequencing?",K3,4,1
4,"Computer Organization and Architecture","Explain about micro instruction with next address field?",K3,4,2
4,"Computer Organization and Architecture","explain about Partial Format for the
Microinstruction?",K3,4,2
4,"Computer Organization and Architecture","Explain how to fetch a word from memory?",K3,4,2
4,"Computer Organization and Architecture","Explain how to perform arthimetic operation in a memory?",K3,4,3
4,"Computer Organization and Architecture","Explain procedure to  execute an intruction?",K3,4,3
4,"Computer Organization and Architecture","Explain advantages of multiple bus organization?",K3,4,3
4,"Computer Organization and Architecture","List techniques of Flynn’s classification?",K1,5,1
4,"Computer Organization and Architecture","Outline clusters?",K1,5,1
4,"Computer Organization and Architecture","State shared memory multi processors?",K1,5,1
4,"Computer Organization and Architecture","Outline hardware multi threading?",K1,5,2
4,"Computer Organization and Architecture","What is a register file?",K1,5,2
4,"Computer Organization and Architecture","Define SISD?",K1,5,2
4,"Computer Organization and Architecture","Define MIMD?",K1,5,3
4,"Computer Organization and Architecture","Define SIMD?",K1,5,3
4,"Computer Organization and Architecture","Define SPMD?",K1,5,3
4,"Computer Organization and Architecture","Explain about instruction hazards?",K2,5,1
4,"Computer Organization and Architecture"," Explain the basic concepts of pipelining and compare it with sequence processing?",K2,5,1
4,"Computer Organization and Architecture","Explain about data hazards?",K2,5,1
4,"Computer Organization and Architecture","Explain about message passing muti processors?",K2,5,2
4,"Computer Organization and Architecture","What is the binary representation of instructions?",K2,5,2
4,"Computer Organization and Architecture","Which access does a register file rely on to properly function?",K2,5,2
4,"Computer Organization and Architecture","Which feature of the IBM 360/91 was incorporated into the majority of microprocessors developed in the 21st century?",K2,5,3
4,"Computer Organization and Architecture","illustrate thr difference between multicore and multiprocessor.",K2,5,3
4,"Computer Organization and Architecture","Which term refers to the same instruction applied to multiple data streams?",K2,5,3
4,"Computer Organization and Architecture","Which two elements are required to implement R-Format arithmetic logic unit (ALU) operations?",K3,5,1
4,"Computer Organization and Architecture","What is a Datapath with the help of diagram?",K3,5,1
4,"Computer Organization and Architecture","Which component of a computer moderates the action of its other components?",K3,5,1
4,"Computer Organization and Architecture","what are the Dependencies in a pipelined processor?",K3,5,2
4,"Computer Organization and Architecture","explain different types of Data Hazards.",K3,5,2
4,"Computer Organization and Architecture","Explain about flynn's classification – SISD, MIMD, SIMD, SPMD",K3,5,2
4,"Computer Organization and Architecture","discuss the role of cache memory.",K3,5,3
4,"Computer Organization and Architecture","Explain the pipeline performance with the help of diagrams",K3,5,3
4,"Computer Organization and Architecture","Explain dynamic branch prediction and 2-state machine algorithm",K3,5,3
